;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL
353;0147.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van pluimvee
970;01471.0;A;147;5.0;GROCERIES;EXPENSE - GOODS;Kippenkwekerijen
971;01472.0;A;147;5.0;GROCERIES;EXPENSE - GOODS;Productie van eieren van pluimvee
972;01479.0;A;147;5.0;GROCERIES;EXPENSE - GOODS;Pluimveehouderijen, m.u.v. kippenkwekerijen
354;0149.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van andere dieren
973;01490.0;A;149;;GROCERIES;EXPENSE - GOODS;Fokken van andere dieren
70;015.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Gemengd bedrijf
355;0150.0;A;15;;GROCERIES;EXPENSES - GOODS;Gemengd bedrijf
974;01500.0;A;150;;GROCERIES;EXPENSES - GOODS;Gemengd bedrijf
71;016.0;A;1;3.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de landbouw
356;0161.0;A;16;4.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de teelt van gewassen
975;01610.0;A;161;5.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de teelt van gewassen
357;0162.0;A;16;4.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de veeteelt
976;01620.0;A;162;5.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de veeteelt
358;0163.0;A;16;4.0;OTHER SERVICES;OTHER SERVICES;Activiteiten met betrekking tot gewassen na de oogst
977;01630.0;A;163;5.0;OTHER SERVICES;OTHER SERVICES;Activiteiten met betrekking tot gewassen na de oogst
359;0164.0;A;16;4.0;OTHER SERVICES;OTHER SERVICES;Zaadbewerking met het oog op vermeerdering
978;01640.0;A;164;;OTHER SERVICES;OTHER SERVICES;Zaadbewerking met het oog op vermeerdering
72;017.0;A;1;3.0;OTHER SERVICES;OTHER SERVICES;Jacht, zetten van vallen en diensten in verband met deze activiteiten
360;0170.0;A;17;;OTHER SERVICES;OTHER SERVICES;Jacht, zetten van vallen en diensten in verband met deze activiteiten
979;01700.0;A;170;;OTHER SERVICES;OTHER SERVICES;Jacht, zetten van vallen en diensten in verband met deze activiteiten
73;021.0;A;2;3.0;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Bosbouw
361;0210.0;A;21;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Bosbouw
980;02100.0;A;210;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Bosbouw
74;022.0;A;2;3.0;UTILITIES - SOLID FUELS;EXPENSES - GOODS;Exploitatie van bossen
362;0220.0;A;22;;UTILITIES - SOLID FUELS;EXPENSES - GOODS;Exploitatie van bossen
981;02200.0;A;220;;UTILITIES - SOLID FUELS;EXPENSES - GOODS;Exploitatie van bossen
75;023.0;A;2;3.0;GROCERIES;EXPENSES - GOODS;Verzamelen van in het wild groeiende producten met uitzondering van hout
363;0230.0;A;23;;GROCERIES;EXPENSES - GOODS;Verzamelen van in het wild groeiende producten met uitzondering van hout
982;02300.0;A;230;;GROCERIES;EXPENSES - GOODS;Verzamelen van in het wild groeiende producten met uitzondering van hout
76;024.0;A;2;3.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende diensten in verband met de bosbouw
364;0240.0;A;24;;OTHER SERVICES;OTHER SERVICES;Ondersteunende diensten in verband met de bosbouw
983;02400.0;A;240;;OTHER SERVICES;OTHER SERVICES;Ondersteunende diensten in verband met de bosbouw
77;031.0;A;3;3.0;GROCERIES;EXPENSES - GOODS;Visserij
365;0311.0;A;31;;GROCERIES;EXPENSES - GOODS;Zeevisserij
984;03110.0;A;311;;GROCERIES;EXPENSES - GOODS;Zeevisserij
366;0312.0;A;31;;GROCERIES;EXPENSES - GOODS;Binnenvisserij
985;03120.0;A;312;;GROCERIES;EXPENSES - GOODS;Binnenvisserij
78;032.0;A;3;3.0;GROCERIES;EXPENSES - GOODS;Aquacultuur
367;0321.0;A;32;4.0;GROCERIES;EXPENSES - GOODS;Mariene aquacultuur
986;03210.0;A;321;;GROCERIES;EXPENSES - GOODS;Mariene aquacultuur
368;0322.0;A;32;4.0;GROCERIES;EXPENSES - GOODS;Aquacultuur in zoet water
987;03220.0;A;322;;GROCERIES;EXPENSES - GOODS;Aquacultuur in zoet water
1;05.0;B;B;2.0;;EXPENSES - GOODS;Winning van steenkool en bruinkool
79;051.0;B;5;;;EXPENSES - GOODS;Winning van steenkool
369;0510.0;B;51;;;EXPENSES - GOODS;Winning van steenkool
988;05100.0;B;510;;;EXPENSES - GOODS;Winning van steenkool
80;052.0;B;5;;;EXPENSES - GOODS;Winning van bruinkool
370;0520.0;B;52;;;EXPENSES - GOODS;Winning van bruinkool
989;05200.0;B;520;;;EXPENSES - GOODS;Winning van bruinkool
2;06.0;B;B;2.0;;EXPENSES - GOODS;Winning van aardolie en aardgas
81;061.0;B;6;3.0;;EXPENSES - GOODS;Winning van aardolie
371;0610.0;B;61;;;EXPENSES - GOODS;Winning van aardolie
990;06100.0;B;610;;;EXPENSES - GOODS;Winning van aardolie
82;062.0;B;6;3.0;;EXPENSES - GOODS;Winning van aardgas
372;0620.0;B;62;;;EXPENSES - GOODS;Winning van aardgas
991;06200.0;B;620;;;EXPENSES - GOODS;Winning van aardgas
3;07.0;B;B;2.0;;EXPENSES - GOODS;Winning van metaalertsen
83;071.0;B;7;;;EXPENSES - GOODS;Winning van ijzererts
373;0710.0;B;71;;;EXPENSES - GOODS;Winning van ijzererts
992;07100.0;B;710;;;EXPENSES - GOODS;Winning van ijzererts
84;072.0;B;7;;;EXPENSES - GOODS;Winning van non-ferrometaalertsen
374;0721.0;B;72;;;EXPENSES - GOODS;Winning van uranium- en thoriumerts
993;07210.0;B;721;;;EXPENSES - GOODS;Winning van uranium- en thoriumerts
375;0729.0;B;72;;;EXPENSES - GOODS;Winning van andere non-ferrometaalertsen
994;07290.0;B;729;;;EXPENSES - GOODS;Winning van andere non-ferrometaalertsen
4;08.0;B;B;2.0;;EXPENSES - GOODS;Overige winning van delfstoffen
85;081.0;B;8;;;EXPENSES - GOODS;Winning van steen, zand en klei
376;0811.0;B;81;;;EXPENSES - GOODS;Winning van bouw- en siersteen, kalksteen, gips, krijt en leisteen
995;08111.0;B;811;;;EXPENSES - GOODS;Winning van bouw- en siersteen
996;08112.0;B;811;;;EXPENSES - GOODS;Winning van kalksteen, gips, krijt en leisteen
377;0812.0;B;81;;;EXPENSES - GOODS;Winning van grind, zand, klei en kaolien
997;08121.0;B;812;;;EXPENSES - GOODS;Winning van grind
998;08122.0;B;812;;;EXPENSES - GOODS;Winning van zand
999;08123.0;B;812;;;EXPENSES - GOODS;Winning van klei en kaolien
86;089.0;B;8;;;EXPENSES - GOODS;Winning van delfstoffen, n.e.g.
378;0891.0;B;89;;;EXPENSES - GOODS;Winning van mineralen voor de chemische en de kunstmestindustrie
1000;08910.0;B;891;;;EXPENSES - GOODS;Winning van mineralen voor de chemische en de kunstmestindustrie
379;0892.0;B;89;;;EXPENSES - GOODS;Winning van turf
1001;08920.0;B;892;;;EXPENSES - GOODS;Winning van turf
380;0893.0;B;89;;;EXPENSES - GOODS;Zoutwinning
1002;08930.0;B;893;;;EXPENSES - GOODS;Zoutwinning
381;0899.0;B;89;;;EXPENSES - GOODS;Overige winning van delfstoffen, n.e.g.
1003;08990.0;B;899;;;EXPENSES - GOODS;Overige winning van delfstoffen, n.e.g.
5;09.0;B;B;2.0;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de mijnbouw
87;091.0;B;9;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
382;0910.0;B;91;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
1004;09100.0;B;910;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
88;099.0;B;9;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de overige winning van delfstoffen
383;0990.0;B;99;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de overige winning van delfstoffen
1005;09900.0;B;990;;OTHER SERVICES;OTHER SERVICES;Ondersteunende activiteiten in verband met de overige winning van delfstoffen
89;101.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vlees en vervaardiging van vleesproducten
384;1011.0;C;101;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vlees, exclusief vlees van gevogelte
1006;10110.0;C;1011;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vlees, exclusief vlees van gevogelte
385;1012.0;C;101;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van gevogelte
1007;10120.0;C;1012;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van gevogelte
386;1013.0;C;101;;GROCERIES;EXPENSES - GOODS;Vervaardiging van producten van vlees of van vlees van gevogelte
1008;10130.0;C;1013;;GROCERIES;EXPENSES - GOODS;Vervaardiging van producten van vlees of van vlees van gevogelte
90;102.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vis en van schaal- en weekdieren
387;1020.0;C;102;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vis en van schaal- en weekdieren
1009;10200.0;C;1020;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van vis en van schaal- en weekdieren
91;103.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van groenten en fruit
388;1031.0;C;103;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van aardappelen
1010;10311.0;C;1031;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van aardappelen, exclusief productie van diepgevroren aardappelbereidingen
1011;10312.0;C;1031;;GROCERIES;EXPENSES - GOODS;Productie van diepgevroren aardappelbereidingen
389;1032.0;C;103;;GROCERIES;EXPENSES - GOODS;Vervaardiging van groente- en fruitsappen
1012;10320.0;C;1032;;GROCERIES;EXPENSES - GOODS;Vervaardiging van groente- en fruitsappen
390;1039.0;C;103;;GROCERIES;EXPENSES - GOODS;Overige verwerking en conservering van groenten en fruit
1013;10391.0;C;1039;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten
1014;10392.0;C;1039;;GROCERIES;EXPENSES - GOODS;Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit
1015;10393.0;C;1039;;GROCERIES;EXPENSES - GOODS;Productie van diepgevroren groenten en fruit
92;104.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van plantaardige en dierlijke oliën en vetten
391;1041.0;C;104;;GROCERIES;EXPENSES - GOODS;Vervaardiging van oliën en vetten
1016;10410.0;C;1041;;GROCERIES;EXPENSES - GOODS;Vervaardiging van oliën en vetten
392;1042.0;C;104;;GROCERIES;EXPENSES - GOODS;Vervaardiging van margarine en andere spijsvetten
1017;10420.0;C;1042;;GROCERIES;EXPENSES - GOODS;Vervaardiging van margarine en andere spijsvetten
93;105.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van zuivelproducten
393;1051.0;C;105;;GROCERIES;EXPENSES - GOODS;Zuivelfabrieken en kaasmakerijen
1018;10510.0;C;1051;;GROCERIES;EXPENSES - GOODS;Zuivelfabrieken en kaasmakerijen
394;1052.0;C;105;;GROCERIES;EXPENSES - GOODS;Vervaardiging van consumptie-ijs
1019;10520.0;C;1052;;GROCERIES;EXPENSES - GOODS;Vervaardiging van consumptie-ijs
94;106.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten
395;1061.0;C;106;;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten
1020;10610.0;C;1061;;GROCERIES;EXPENSES - GOODS;Vervaardiging van maalderijproducten
396;1062.0;C;106;;GROCERIES;EXPENSES - GOODS;Vervaardiging van zetmeel en zetmeelproducten
1021;10620.0;C;1062;;GROCERIES;EXPENSES - GOODS;Vervaardiging van zetmeel en zetmeelproducten
95;107.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van bakkerijproducten en deegwaren
397;1071.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van brood en van vers banketbakkerswerk
1022;10711.0;C;1071;;GROCERIES;EXPENSES - GOODS;Industriële vervaardiging van brood en van vers banketbakkerswerk
1023;10712.0;C;1071;;GROCERIES;EXPENSES - GOODS;Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk
398;1072.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk
1024;10720.0;C;1072;;GROCERIES;EXPENSES - GOODS;Vervaardiging van beschuit en biscuit en van ander houdbaar banketbakkerswerk
399;1073.0;C;107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren
1025;10730.0;C;1073;;GROCERIES;EXPENSES - GOODS;Vervaardiging van macaroni, noedels, koeskoes en dergelijke deegwaren
96;108.0;C;10;3.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen
400;1081.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van suiker
1026;10810.0;C;1081;;GROCERIES;EXPENSES - GOODS;Vervaardiging van suiker
401;1082.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van cacao, chocolade en suikerwerk
1027;10820.0;C;1082;;GROCERIES;EXPENSES - GOODS;Vervaardiging van cacao, chocolade en suikerwerk
402;1083.0;C;108;;GROCERIES;EXPENSES - GOODS;Verwerking van thee en koffie
1028;10830.0;C;1083;;GROCERIES;EXPENSES - GOODS;Verwerking van thee en koffie
403;1084.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van specerijen, sauzen en kruiderijen
1029;10840.0;C;1084;;GROCERIES;EXPENSES - GOODS;Vervaardiging van specerijen, sauzen en kruiderijen
404;1085.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van bereide maaltijden en schotels
1030;10850.0;C;1085;;GROCERIES;EXPENSES - GOODS;Vervaardiging van bereide maaltijden en schotels
405;1086.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
1031;10860.0;C;1086;;GROCERIES;EXPENSES - GOODS;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
406;1089.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen, n.e.g.
1032;10890.0;C;1089;;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen, n.e.g.
97;109.0;C;10;3.0;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van diervoeders
407;1091.0;C;109;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van veevoeders
1033;10910.0;C;1091;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van veevoeders
408;1092.0;C;109;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van voeders voor huisdieren
1034;10920.0;C;1092;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van voeders voor huisdieren
98;110.0;C;11;;;;Vervaardiging van dranken
409;1101.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen
1035;11010.0;C;1101;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen
410;1102.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van wijn uit druiven
1036;11020.0;C;1102;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van wijn uit druiven
411;1103.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van cider en van andere vruchtenwijnen
1037;11030.0;C;1103;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van cider en van andere vruchtenwijnen
412;1104.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van andere niet-gedistilleerde gegiste dranken
1038;11040.0;C;1104;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van andere niet-gedistilleerde gegiste dranken
413;1105.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van bier
1039;11050.0;C;1105;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van bier
414;1106.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van mout
1040;11060.0;C;1106;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van mout
415;1107.0;C;110;4.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van frisdranken
1041;11070.0;C;1107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van frisdranken
6;12.0;C;C;2.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten
99;120.0;C;12;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten
416;1200.0;C;120;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten
1042;12000.0;C;1200;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten
7;13.0;C;C;2.0;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van textiel
100;131.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels
417;1310.0;C;131;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels
1043;13100.0;C;1310;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels
101;132.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel
418;1320.0;C;132;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel
1044;13200.0;C;1320;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel
102;133.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling
419;1330.0;C;133;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling
1045;13300.0;C;1330;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling
103;139.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten
420;1391.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte stoffen
1046;13910.0;C;1391;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte stoffen
421;1392.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van geconfectioneerde artikelen van textiel, exclusief kleding
1047;13921.0;C;1392;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik
1048;13929.0;C;1392;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding
422;1393.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van vloerkleden en tapijt
1049;13930.0;C;1393;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van vloerkleden en tapijt
423;1394.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van koord, bindgaren, touw en netten
1050;13940.0;C;1394;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van koord, bindgaren, touw en netten
424;1395.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebonden textielvlies en van artikelen van gebonden textielvlies, exclusief kleding
1051;13950.0;C;1395;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebonden textielvlies en van artikelen van gebonden textielvlies, exclusief kleding
425;1396.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van ander technisch en industrieel textiel
1052;13960.0;C;1396;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van ander technisch en industrieel textiel
426;1399.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten, n.e.g.
1053;13990.0;C;1399;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten, n.e.g.
8;14.0;C;C;2.0;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding
104;141.0;C;14;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding, exclusief bontkleding
