MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (Not Elsewhere Classified)","Merchants classified with this MCC are lodging establishments or central reservation services that do not have their own specific MCC. MCC 7011 may include, bed and breakfast establishments, resorts, cabins, cottages, hostels, short-term property rentals less than 30 days in length, and local inns.","Bed & Breakfast Establishments Central Reservation Services Hotels (Not Listed in T&E Section) Inns (Not Listed in T&E Section) Lodging Establishments (Not Listed in T&E Section) Motels (Not Listed in T&E Section) Resorts (Not Listed in T&E Section) Services – Central Reservation, Lodging",6513 – Real Estate Agents and Managers
7012,Timeshares,"Merchants classified with this MCC sell, lease, and rent timeshares and arrange timeshare condominium exchanges.",,"7011 – Lodging – Hotels, Motels, Resorts, Central Reservation Services (Not Elsewhere Classified)"
7032,Sporting and Recreational Camps,"Merchants classified with this MCC operate children’s camps, recreational camps, and sporting camps.","Boys’ Camps Camps – Boys’, Girls’ Camps – Sporting, Recreational Children’s Camps Girls’ Camps Recreational, Sporting Camps Nudist Camps Dude Ranches",7033 – Trailer Parks and Campgrounds 7999 – Recreation Services (Not Elsewhere Classified)
7033,Trailer Parks and Campgrounds,"Merchants classified with this MCC provide overnight or short-term camp sites for recreational vehicles, trailers, campers, or tents.",,7032 – Sporting and Recreational Camps 7999 – Recreation Services (Not Elsewhere Classified)
7210,"Laundry, Cleaning, and Garment Services",Merchants classified with this MCC operate steam or other types of laundries or laundry services.,"Diaper Services Garment Services Services – Laundry, Cleaning, Garment Services",7211 – Laundries – Family and Commercial 7216 – Dry Cleaners
7211,Laundries – Family and Commercial,Merchants classified with this MCC provide coin- operated or similar self-service washers and dryers for general consumer use and may also offer laundry services.,Laundromats,"7210 – Laundry, Cleaning, and Garment Services 7216 – Dry Cleaners"
7216,Dry Cleaners,Merchants classified with this MCC perform dry cleaning services for individuals or businesses and may offer limited alteration services.,Services – Dry Cleaning,"7210 – Laundry, Cleaning, and Garment Services 7211 – Laundries – Family and Commercial"
7217,Carpet and Upholstery Cleaning,"Merchants classified with this MCC clean carpets, drapes, and upholstery.",Drapery Cleaning,"7641 – Furniture – Reupholstery, Repair, and Refinishing"
7221,Photographic Studios,Merchants classified with this MCC perform still or video portrait photography for the general public.,Photographers – Wedding Portrait Studios Wedding Photographers,7395 – Photofinishing Laboratories and Photo Developing
7230,Beauty and Barber Shops,"Merchants classified with this MCC provide personal hair care services such as hair cutting, styling, and coloring, and may also perform manicures and pedicures and sell a limited selection of hair care products.","Beauty Salons Fingernail Salons Hair Cutting Hair Salon Hair Styling Hairdressers Make-up Studios Manicurists Nail Salons Salons – Hair, Beauty Salons – Nail",7298 – Health and Beauty Spas 7299 – Miscellaneous Personal Services (Not Elsewhere Classified)
7251,"Shoe Repair Shops, Shoeshine Parlors, and Hat Cleaning Shops",Merchants classified with this MCC repair footwear and provide shoe and hat cleaning and maintenance services.,"Hat Cleaning Shops Shoeshine Shops, Stands Repairs – Shoe Repair Shops",7299 – Miscellaneous Personal Services (Not Elsewhere Classified) 7699 – Miscellaneous Repair Shops and Related Services
7261,Funeral Services and Crematories,"Merchants classified with this MCC are mortuaries, crematories, and funeral homes that provide burial preparation services, conduct funerals, and provide cremation services.",Mortuaries Morticians Undertakers,7299 – Miscellaneous Personal Services (Not Elsewhere Classified)
7273,Dating Services,"Merchants classified with this MCC provide dating and escort services, including online services.","Escort Services Services – Dating, Escort Online Dating Services",7299 – Miscellaneous Personal Services (Not Elsewhere Classified)
7276,Tax Preparation Services,"Merchants classified with this MCC provide income tax return preparation services but do not provide auditing, accounting, or bookkeeping services.",Services – Tax Preparation,"8931 – Accounting, Auditing, and Bookkeeping Services 8999 – Professional Services (Not Elsewhere Classified)"
7277,"Counseling Services – Debt, Marriage, and Personal","Merchants classified with this MCC provide a variety of personal counseling services, such as debt and financial counseling, marriage counseling, family counseling, and alcohol and drug abuse counseling.","Alcohol, Drug Abuse Counseling Credit Counseling Debt Counseling Drug, Alcohol Abuse Counseling Family Counseling Financial Counseling Service Marriage Counseling Personal Counseling Services – Counseling – Debt, Marriage, Personal Services – Financial Counseling",7322 - Collection Agencies 8111 – Legal Services and Attorneys 8999 – Professional Services (Not Elsewhere Classified)
7278,Buying and Shopping Services and Clubs,Merchants classified with this MCC act as an intermediary to facilitate buying and shopping for individuals or businesses on a fee basis.,"Personal Shopper Services – Buying/Shopping Services, Clubs Shopping Services",7299 – Miscellaneous Personal Services (Not Elsewhere Classified) 7399 – Business Services (Not Elsewhere Classified)
7296,"Clothing Rental – Costumes, Uniforms, Formal Wear","Merchants classified with this MCC rent costumes, uniforms, formal wear, and other types of apparel and related accessories.","Apparel – Clothing Rental – Costumes, Formal Wear, Uniforms Costume Rental Formal Wear Rental Rentals – Clothing – Costumes, Formal Wear, Uniforms Rentals – Costume Rentals – Tuxedo, Formal Wear Rentals – Uniforms Tuxedo, Formal Wear Rentals Uniforms Rental","5137– Men’s, Women’s, and Children’s Uniforms and Commercial Clothing 7299 – Miscellaneous Personal Services (Not Elsewhere Classified)"
7297,Massage Parlors,Merchants classified with this MCC specialize in providing therapeutic massage services and may also provide other personal services such as spa treatments and rent saunas or hot tubs for customer use.,,7298 – Health and Beauty Spas 7299 – Miscellaneous Personal Services (Not Elsewhere Classified)
7298,Health and Beauty Spas,"Merchants classified with this MCC provide a variety of personal or therapeutic services such as facials, massages, mud baths, herbal wraps, tanning treatments, whirlpools, steam baths, and hair and makeup styling, and instructional classes.",Tanning Salons,"7011 – Lodging – Hotel, Motels, Resorts, Central Reservation Services (Not Elsewhere Classified) 7297 – Massage Parlors 7299 – Miscellaneous Personal Services (Not Elsewhere Classified)"
7299,Miscellaneous Personal Services (Not Elsewhere Classified),Merchants classified with this MCC provide personal services that are not classified with a more specific MCC.,"Animal Boarding Services Animal Breeders Animal Grooming Services Animal Training Apartment Rental Services Boarding Services – Animal Body Piercing, Tattoo Parlors Breeders – Animals Dog Grooming Services Dog Training Horse Boarding Services
Kennels – Animal Pet Grooming Services Services – Animal Boarding Services – Stand-Alone Tipping/Gratuities Services – Miscellaneous Other Services – Miscellaneous Personal Services – Pet Grooming Services – Water Filtration, Purification, Softening Treatments Stables – Animal Tattoo, Body Piercing Parlors Taxidermists Wedding Chapels / Planning","7230 – Beauty and Barber Shops 7251 – Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops 7261 – Funeral Services and Crematories 7273 – Dating Services 7276 – Tax Preparation Services ... 7277 – Counseling Services – Debt, Marriage, and Personal 7278 – Buying and Shopping Services and Clubs 7296 – Clothing Rental – Costumes,
Uniforms, Formal Wear/ 7297 – Massage Parlors 7298 – Health and Beauty Spas"
7311,Advertising Services,"Merchants classified with this MCC prepare advertising (writing copy, artwork, graphics, and other creative work) and place such advertising and/or samples in periodicals, newspapers, radio and television, on the internet, in the sky, or other advertising media for clients on a contract or fee basis.",Ad Agencies Agencies – Advertising Classified Ads – Newspaper Services – Advertising,8999 – Professional Services (Not Elsewhere Classified)
7321,Consumer Credit Reporting Agencies,"Merchants classified with this MCC provide consumer credit reporting services such as credit investigation, credit clearinghouses, and other related services. For Merchants primarily engaged in collecting debts in default owed to others or that were originally owed to others, use MCC 7322",,7322 - Collection Agencies 7399 – Business Services (Not Elsewhere Classified)
7322,Collection Agencies,,,
7333,"Commercial Photography, Art, and Graphics","Merchants classified with this MCC provide commercial art or graphic design services for advertising agencies, publishers, and other businesses.",Commercial Artists Film Production Graphics – Commercial Silk Screening,7221 – Photography Studios 8999 – Professional Services (Not Elsewhere Classified)
7338,"Quick Copy, Reproduction, and Blueprinting Services","Merchants classified with this MCC reproduce and bind text, drawings, plans, maps, or other copy, by blueprinting, photocopying, or other methods of duplication.","Photocopying Services Reproduction Services Services – Quick Copy, Reproduction","7395 – Photofinishing Laboratories and Photo Developing 5943 – Stationery Stores, Office and School Supply Stores"
7339,Stenographic and Secretarial Support,"Merchants classified with this MCC provide a range of stenographic and secretarial services such as word processing, typing, editing, letter writing, proofreading, resume writing, and court reporting services.",Services – Word Processing Word Processing Services,7361 – Employment Agencies and Temporary Help Services 7399 – Business Services (Not Elsewhere Classified)
7342,Exterminating and Disinfecting Services,"Merchants classified with this MCC provide pest control, extermination, fumigation, and disinfection services.",Exterminators Pest Control,"7349 – Cleaning, Maintenance, and Janitorial Services"
7349,"Cleaning, Maintenance, and Janitorial Services",Merchants classified with this MCC provide cleaning and maintenance services.,House Cleaning Services Housekeeping Services Maintenance Services Services – Housekeeping,7342 – Exterminating and Disinfecting Services
7361,Employment Agencies and Temporary Help Services,Merchants classified with this MCC provide employment services for those seeing employees or employment.,Temporary Employment Agencies,7399 – Business Services (Not Elsewhere Classified)
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services","Merchants classified with this MCC provide computer programming services, systems design, website design, data entry, and data processing services.",Computer Software Design Systems Design – Computer,"5734 – Computer Software Stores 7379 – Computer Maintenance, Repair and Services (Not Elsewhere Classified) 7399 – Business Services (Not Elsewhere Classified) 8999 – Professional Services (Not Elsewhere Classified)"
7375,Information Retrieval Services,Merchants classified with this MCC are business-to- business or wholesale provisioners of online or database information retrieval services.,,"7321 – Consumer Credit Reporting Agencies21 7392 – Management, Consulting, and Public Relations Services 7399 – Business Services (Not Elsewhere Classified)"
7379,"Computer Maintenance, Repair and Services (Not Elsewhere Classified)","Merchants classified with this MCC provide computer- related services such as computer consulting, database development, computer maintenance and repair, conversion services, and computer requirements analysis.",,"5045 – Computers and Computer Peripheral Equipment and Software 5732 – Electronics Stores 5734 – Computer Software Stores 7372 – Computer Programming, Data Processing, and Integrated Systems Design Services 7629 – Electrical and Small Appliance Repair Shops"
7392,"Management, Consulting, and Public Relations Services","Merchants classified with this MCC perform a variety of activities for private, nonprofit, and public organizations, such as strategic and organizational planning, financial planning and budgeting, developing marketing objectives, information systems planning, development of human resource policies, and public relations services.","Consultants – Management Consultants – Marketing Consultants – Public Relations Consulting, Management Services Management Consultants Marketing Consultants Public Relations Services Services – Management, Consulting, Public Relations",7399 – Business Services (Not Elsewhere Classified) 8999 – Professional Services (Not Elsewhere Classified)
7393,"Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs","Merchants classified with this MCC provide security devices/systems and services such as security guard, protective, and armored car services and investigative services.","Alarm Systems, Services Armored Cars Burglar Alarm Companies – Home/Business Security Fire Alarm Companies – Home/Business Security Guard Dogs Home Security Systems Private Investigators Protective Services Security Services, Protective Services, Detective Agencies Security Systems
Services – Armored Car Services – Detective Agencies Services – Guard Dog Services – Protective Services – Security Surveillance Systems, Services",7399 – Business Services (Not Elsewhere Classified) 8111 – Legal Services and Attorneys 8999 – Professional Services (Not Elsewhere Classified)
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing","Merchants classified with this MCC rent and lease equipment, tools, furniture, appliances, and office equipment, excluding typewriters.","Appliance Rental Furniture Rental Leasing Services – Equipment Rentals – Appliance Rentals – Equipment Rentals – Furniture Rentals – Tools Services – Equipment Rental, Leasing","4457 – Boat Rentals and Leasing 5978 – Typewriter Stores – Sales Rentals, and Service 7296 – Clothing Rental – Costumes, Uniforms, Formal Wear 7513 – Truck and Utility Trailer Rentals 7519 – Motor Home and Recreational Vehicle Rentals 7841 – DVD/Video Tape Rental Stores"
7395,Photofinishing Laboratories and Photo Developing,"Merchants classified with this MCC develop film, make photographic prints and enlargements, and provide custom services, and may also sell a limited selection of photographic supplies and accessories.",Film Developing,"5044 – Photographic, Photocopy, Microfilm Equipment and Supplies 5946 – Camera and Photographic Supply Stores 7221 – Photographic Studios 7333 – Commercial Photography, Art, and Graphics"
7399,Business Services (Not Elsewhere Classified),Merchants classified with this MCC provide business services that are not typically considered to be “professions” and are not classified with a more specific MCC.,"Answering Services – Telephone Conference Management Services Convention Bureaus Cosmetics Distributors Event Planning and Management Keys – Locksmith Language, Translation Services Locksmith Mail, Packing Stores, Services Meeting Planning Services
Message, Paging Services Packing, Mailing Services Paging, Message Service Centers Perfume Distributors Postal Services – Non- Government Publishing Companies Seminar Planning Services Services – Telephone Answering Services – Trade Show Arrangement Services – Translation, Language Telephone Answering Services Tourist Information Bureaus Trade Show Arrangement Services Translation Services Video-Conferencing Services","4215 – Courier Services – Air and Ground, and Freight Forwarders 7299 – Miscellaneous Personal Services (Not Elsewhere Classified) 7311 – Advertising Services 7338 – Quick Copy, Reproduction, and Blueprinting Services 7393 – Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs 7999 – Recreation Services (Not Elsewhere Classified)"
7512,Automobile Rental Agency,Merchants classified with this MCC are car rental agencies that do not have designated unique MCCs. This also includes car-sharing schemes (known as “car-clubs” in the UK),Car Rentals,7513 – Truck and Utility Trailer Rentals 7519 – Motor Home and Recreational Vehicle Rentals
7513,Truck and Utility Trailer Rentals,"Merchants classified with this MCC provide short-term rental or long-term leasing of trucks, vans, or utility trailers.","Leasing Services – Trucks, Utility Trailers","7394 – Equipment, Tool, Furniture, and Appliance Rental and Leasing 7512 – Automobile Rental Agency 7519 – Motor Home and Recreational Vehicle Rentals"
7519,Motor Home and Recreational Vehicle Rentals,"Merchants classified with this MCC rent motor homes, RVs, campers, tent trailers, and other recreational vehicles on daily, short-term, or extended-term basis.",,4457 – Boat Rentals and Leasing 7513 – Truck and Utility Trailer Rentals 7999 – Recreation Services (Not Elsewhere Classified)
7523,"Parking Lots, Parking Meters and Garages","Merchants classified with this MCC provide temporary parking services for all modes of transportation, usually on an hourly, daily, or monthly contract or fee basis.",Parking Garages,
7531,Automotive Body Repair Shops,Merchants classified with this MCC perform automotive body repair work and may paint automobiles in conjunction with body repair work.,Car Body Repair Shops Auto Body Shops,7534 – Tire Retreading and Repair Shops 7535 – Automotive Paint Shops ..... 7538 – Automotive Service Shops (Non-Dealer) 38
7534,Tire Retreading and Repair Shops,"Merchants classified with this MCC sell, install, repair, or retread old tires.","Car Tires – Retreads Repairs – Tire Retreading, Repair Shops",5532 – Automotive Tire Stores 7531 – Automotive Body Repair Shops 7535 – Automotive Paint Shops ..... 7538 – Automotive Service Shops (Non-Dealer)
7535,Automotive Paint Shops,"Merchants classified with this MCC paint, refinish, and restore automobiles.",Car Paint Shops,7531 – Automotive Body Repair Shops 7538 – Automotive Service Shops (Non-Dealer)
7538,Automotive Service Shops (Non-Dealer),Merchants classified with this MCC conduct automotive repairs and general or specific services.,"Automotive Glass Repair/ Replacement Car Service Shops Lube Stations – Quick Stop Muffler Shops Oil Changers – Lube Stations Repairs – Automotive Service Shops Tune-Up Shops – Automotive Wheel Alignment, Balancing, Repair Service – Automotive",5541 – Service Stations (with or without Ancillary Services) 7531 – Automotive Body Repair Shops 7534 – Tire Retreading and Repair Shops 7535 – Automotive Paint Shops 7542 – Car Washes 7549 – Towing Services
7542,Car Washes,"Merchants classified with this MCC wash, wax, and polish automobiles or provide self-service facilities.","Auto Detailing Automotive Cleaning, Waxing
Cleaning, Polishing – Automotive
(Non-Dealer)",5541 – Service Stations (With or Without Ancillary Services) 7538 – Automotive Service Shops
7549,Towing Services,Merchants classified with this MCC provide vehicle towing services.,,5935 – Wrecking and Salvage Yards
7622,Electronics Repair Shops,"Merchants classified with this MCC repair electronics (excluding appliances) such as radios, televisions, stereo equipment, and computers.","Radio, Television, Stereo, Electronics Repair Shops Repairs – Radio, Television, Stereo, Electronics Services – Television, Radio, Stereo, Electronics Stereo Repair Shops Television Repair Shops",7629 – Electrical and Small Appliance Repair Shops 7699 – Miscellaneous Repair Shops and Related Services
7623,Air Conditioning and Refrigeration Repair Shops,Merchants classified with this MCC service and repair household and commercial air conditioning and refrigeration systems.,"Refrigeration Repair Shops Repairs – Air Conditioning, Refrigeration Repair Shops",7629 – Electrical and Small Appliance Repair Shops 7699 – Miscellaneous Repair Shops and Related Services
7629,Electrical and Small Appliance Repair Shops,"Merchants classified with this MCC service and repair household and commercial electrical components, small appliances (such as microwaves, toaster ovens, and toasters), and electrical office machines, excluding typewriters.",Repairs – Office Machines,"5978 – Typewriter Stores – Sales, Rentals, and Service 7622 – Electronics Repair Shops ... 7623 – Air Conditioning and Refrigeration Repair Shops 7699 – Miscellaneous Repair Shops and Related Services"
7631,"Watch, Clock and Jewelry Repair","Merchants classified with this MCC clean and repair all types of watches, clocks, and fine jewelry.",,"5944 – Jewelry Stores, Watches, Clocks, and Silverware Stores"
7641,"Furniture – Reupholstery, Repair, and Refinishing","Merchants classified with this MCC reupholster, repair, refinish, and restore furniture.","Furniture Repair, Reupholstery Refinishing – Furniture Repair, Reupholstery Repairs – Reupholstery, Furniture Repair, Furniture Refinishing Services – Reupholstery,
Furniture Repair, Furniture Refinishing","5712 – Furniture, Home Furnishings and Equipment Stores, Except Appliances"
7692,Welding Services,Merchants classified with this MCC perform welding services and repair.,Services – Welding Repair,1799 – Special Trade Contractors (Not Elsewhere Classified)
7699,Miscellaneous Repair Shops and Related Services,Merchants classified with this MCC provide service and repair work and are not classified with a more specific MCC.,Chimney Cleaning Service Furnace Cleaning Service Machine Shops Services – Chimney Cleaning Services – Furnace Cleaning Services – Large Appliance Repair Services – Bicycle Repair Services – Orthopedic Device Repair,"7531 – Automotive Body Repair Shops 7534 – Tire Retreading and Repair Shops 7538 – Automotive Service Shops (Non-Dealer) 7622 – Electronics Repair Shops 7623 – Air Conditioning and Refrigeration Repair Shops 7629 – Electrical and Small Appliance Repair Shops 7631 – Watch, Clock and Jewelry Repair 7641 – Furniture – Reupholstery, Repair, and Refinishing 7692 – Welding Services"
7800,Government-Owned Lotteries (US Region only),Merchants classified with this MCC are government- owned lotteries in the US Region that are registered with Visa to sell lottery tickets.,,7801 – Government Licensed On- Line Casinos (On-Line Gambling)
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),Merchants classified with this MCC are licensed by a US government entity (and/or sanctioned and regulated by applicable legislation) and registered with Visa to sell virtual gambling chips or offer online gambling.,,7800 – Government-Owned Lotteries
7802,Government-Licensed Horse/Dog Racing (US Region only),Merchants classified with this MCC are licensed by a US government entity (and/or sanctioned and regulated by applicable legislation) and registered with Visa to sell on- or off-track wagers at horse- or dog-racing facilities.,,
7829,Motion Picture and Video Tape Production and Distribution,Merchants classified with this MCC are business-to- business or wholesale producers and distributors of educational and industrial films and videos for exhibition and sale.,"Distributor – Motion
Picture, Video Tape Production, Distribution Educational, Training Film Production Film Production, Distribution Motion Picture, Video Tape Production, Distribution TV Commercial Production Training, Educational Film Production Video Tape, Motion Picture Production, Distribution","7399 – Business Services (Not
Elsewhere Classified) 7841 – DVD/Video Tape Rental Stores 8999 – Professional Services (Not Elsewhere Classified)"
7832,Motion Picture Theaters,Merchants classified with this MCC operate movie theaters and sell tickets and refreshments or sell movie tickets online.,Cinemas Entertainment – Movie Theaters Films – Movie Theaters Movie Theaters,7841 – DVD/Video Tape Rental Stores 7922 – Theatrical Producers (Except Motion Pictures) and Ticket Agencies
7841,DVD/Video Tape Rental Stores,Merchants classified with this MCC rent DVDs/video tapes for personal use and may sell a limited selection of used videos/DVDs and refreshments.,Rentals – DVD/Video Tape Stores,7829 – Motion Picture and Video Tape Production and Distribution
7911,"Dance Halls, Studios and Schools","Merchants classified with this MCC operate dance studios, schools, and public dance halls or ballrooms.",Ballet Schools Ballroom Dance Instruction Dance Schools Schools – Ballroom Dance Instruction Studios – Dance,7922 – Theatrical Producers (Except Motion Pictures) and Ticket Agencies 7999 – Recreation Services (Not Elsewhere Classified)
7922,Ticket Agencies and Theatrical Producers (Except Motion Pictures),"Merchants classified with this MCC operate live theatrical productions (such as road companies and summer theater groups) and services associated with theatrical productions and concerts (such as casting agencies, booking agencies, scenery, lighting, and other equipment services, and theatrical ticket agencies).","Agencies – Ticket, Theatrical Producers Performing Arts Companies – Theatrical Producers – Theatrical Production Agencies – Theatrical Ticket Agencies","7832 – Motion Picture Theaters 7911 – Dance Halls, Studios and Schools 7929 – Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)"
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Merchants classified with this MCC provide entertainment other than theatrical productions (such as musicians, bands, orchestras, and other types of entertainers such as comedians and magicians).",DJs Dance Bands Magicians Music Bands Musicians,
7932,Billiard and Pool Establishments,Merchants classified with this MCC operate establishments that rent the use of pool or billiard tables and other games for entertainment.,Billiard Parlors Snooker Parlors,7999 – Recreation Services (Not Elsewhere Classified)
7933,Bowling Alleys,Merchants classified with this MCC operate bowling alleys for entertainment.,,"5812 – Eating Places and Restaurants 5813 – Drinking Places (Alcoholic Beverages) – Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques 7999 – Recreation Services (Not Elsewhere Classified)"
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters","Merchants classified with this MCC operate and promote semiprofessional and professional athletic clubs (such as baseball, basketball, football, hockey, soccer), promote amateur and professional athletic events, manage individual athletes, and manage sports arenas and stadiums.","Arenas – Sports Athletic Fields Automotive Race Tracks – Non-Participatory Clubs – Professional Sports Professional Sports Clubs Promoters – Sporting Events Race Tracks – Entrance Fee, Non-Betting Transactions Sports Promoters Stadiums",7999 – Recreation Services (Not Elsewhere Classified)
7991,Tourist Attractions and Exhibits,"Merchants classified with this MCC operate a variety of tourist attractions and exhibits for entertainment, such as botanical gardens, craft shows, museums, and wineries.","Arboretums Art Museums Botanical Gardens Exhibits Expositions Gardens – Botanical
Museums Wineries","5971 – Art Dealers and Galleries 7996 – Amusement Parks, Circuses, Carnivals, and Fortune Tellers 7998 – Aquariums, Seaquariums, Dolphinariums, and Zoos 7999 – Recreation Services (Not Elsewhere Classified)"
7992,Public Golf Courses,Merchants classified with this MCC operate public golf courses.,,"7997 – Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
7993,Video Amusement Game Supplies,"Merchants classified with this MCC sell coin-operated amusement machines such as video game machines, jukeboxes, pinball machines, slot machines, mechanical games, instant photograph booths, and similar types of amusement equipment and game supplies. Merchants that operate video and game arcades for public use must be classified with MCC 7994 – Video Game Arcades/Establishments.",,7994 – Video Game Arcades/Establishments
7994,Video Game Arcades/Establishments,"Merchants classified with this MCC operate arcades, amusement machines (such as video game machines, jukeboxes, pinball machines, mechanical games, instant photograph booths, and similar types of amusement equipment) and indoor playgrounds.",Social casinos not offering any prizes of monetary value,"7993 – Video Amusement and Game Supplies 7995 – Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, Wagers at Race Tracks and games of chance to win prizes of monetary value 7999 – Recreation Services (Not Elsewhere Classified)"
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, Wagers at Race Tracks and games of chance to","Merchants classified with this MCC operate games of chance to win prizes of monetary value or betting establishments. Merchants that are unable to distinguish a betting transaction from other transactions, must identify all transactions with MCC 7995.",Betting – Casino Gaming Chips Betting – Lottery Tickets Betting – Off-Track Betting – Wagers Bingo Parlors Raffle Tickets Unlicensed Foreign Exchange Trading or Binary Options Sweepstakes,7800 – Government-Owned Lottery 7801 – Government-Licensed On- Line Casinos (On-Line Gambling) 7802 – Government-Licensed Horse/Dog Racing
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers","Merchants classified with this MCC operate circuses, carnivals, and amusement and theme parks that offer mechanical rides, snacks and food stands, games, animal exhibits, and entertainment, as well as fortune- telling, astrology, mystic, and tarot card-reading services.","County Fairs Fairs Mystics Tarot Readings
State Fairs",7991 – Tourist Attractions and Exhibits 7999 – Recreation Services (Not Elsewhere Classified)
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses","Merchants classified with this MCC operate sports and recreation facilities that require membership such as exercise, athletic and health clubs, country clubs, private golf courses, boating and yacht clubs, swimming clubs, tennis clubs, bowling leagues, riding clubs, shooting and gun clubs, and racquetball clubs, and may also provide spa services",Athletic Clubs – Physical Fitness Boating Clubs Clubs – Boating Clubs – Gun Clubs – Racquetball Clubs – Sailing Clubs – Sports Clubs – Tennis Clubs – Yacht Country Clubs Exercise Clubs Fitness Clubs Golf Courses – Private Gun Clubs Health Clubs Private Golf Courses Racquetball Clubs Sailing Clubs Sports Clubs Tennis Clubs Yacht Clubs,7297 – Massage Parlors 7298 – Health and Beauty Spas 7992 – Public Golf Courses
7998,"Aquariums, Seaquariums, Dolphinariums, and Zoos",Merchants classified with this MCC operate zoos or sea life parks for entertainment and education for the general public.,Sea Life Parks,7991 – Tourist Attractions and Exhibits
7999,Recreation Services (Not Elsewhere Classified),Merchants classified with this MCC provide a wide variety of recreation and entertainment services that require active physical participation and that are not classified with a more specific MCC.,"Aircraft Rentals Ballooning Batting Cages Bicycle Rentals including electric scooters Fishing/Hunting Licenses Games Instruction Golf – Driving Ranges Horseback Riding Instruction – Games Miniature Golf Motorcycle Rentals Parachuting
Pools – Public Swimming Public Swimming Pools Recreational Services – Aircraft Rentals Recreational Services – Driving Ranges Recreational Services – Miniature Golf Recreational Services – Public Swimming Pools Recreational Services – Ski Slopes Recreational Services – Sport, Games Instruction Rentals – Aircraft Resorts – Miscellaneous Resorts – Ski Roller Skating Rinks Services – Recreation Shooting Ranges Ski Slopes Sky Diving Sports Instruction Swimming Pools – Public","4457 – Boat Rentals and Leasing 7032 – Sporting and Recreational Camps 7033 – Trailer Parks and Campgrounds 7298 – Health and Beauty Spas 7519 – Motor Home and Recreational Vehicle Rentals 7932 – Billiard and Pool Establishments 7933 – Bowling Alleys 7941 – Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters
7991 – Tourist Attractions and Exhibits 7992 – Public Golf Courses 7994 – Video Game Arcades/Establishments 7996 – Amusement Parks, Circuses, Carnivals, and Fortune Tellers 7997 – Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses 7998 – Aquariums, Seaquariums, Dolphinariums, and Zoos"
8011,Doctors and Physicians (Not Elsewhere Classified),Merchants classified with this MCC are licensed physicians engaged in a practice of general or specialized medicine and surgery that is not classified with a more specific MCC.,Cosmetic Surgeons Dermatologists Gynecologists Medical Professionals – Doctors Neurologists Obstetricians Orthopedists Pediatricians Physicians Plastic Surgeons Psychiatrists Radiologists Surgeons,"8021 – Dentists and Orthodontists 8031 – Osteopaths 8041 – Chiropractors 8042 – Optometrists and Ophthalmologists 8043 – Opticians, Optical Goods, and Eyeglasses 8049 – Podiatrists and Chiropodists8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)"
8021,Dentists and Orthodontists,Merchants classified with this MCC are licensed physicians that practice general or specialized dentistry such as dental surgery.,,8011 – Doctors and Physicians (Not Elsewhere Classified) 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
8031,Osteopaths,Merchants classified with this MCC provide therapy involving the non-surgical manipulation and adjustment of bone structures.,,8011 – Doctors and Physicians (Not Elsewhere Classified) 8041 – Chiropractors 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
8041,Chiropractors,Merchants classified with this MCC provide therapy in which the spinal column and limbs are manipulated or adjusted.,,8011 – Doctors and Physicians (Not Elsewhere Classified) 8031 – Osteopaths8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)
8042,Optometrists and Ophthalmologists,"Merchants classified with this MCC are licensed physicians that examine and treat eye defects with corrective eyeglasses or contacts or surgical techniques, treat eye diseases, and may fill contact or eyeglass prescriptions and sell eyeglass frames.",Eye Doctors,"8011 – Doctors and Physicians (Not Elsewhere Classified) 8043 – Opticians, Optical Goods, and Eyeglasses 8099 – Medical Services and Health Practitioners (Not Elsewhere Classified)"
